"gene","layer"
"NEFH","L4_DLPFC & L5_dACC"
"VAMP1","L4_DLPFC & L5_dACC"
"SYT2","L4_DLPFC & L5_dACC"
"LGALS1","L4_DLPFC & L5_dACC"
"SNCG","L4_DLPFC & L5_dACC"
"GPX3","L4_DLPFC & L3_DLPFC"
"GRIA4","L3_dACC & L2_dACC"
"ADCYAP1","L3_dACC & L3_DLPFC"
"FREM3","L3_dACC & L3_DLPFC"
"GPR6","L3_dACC & L3_DLPFC"
"LINC01007","L3_dACC & L3_DLPFC"
"AJ009632.2","L3_dACC & L3_DLPFC"
"PCP4","L5_dACC & L5_DLPFC"
"VAT1L","L5_dACC & L5_DLPFC"
"TRABD2A","L5_dACC & L5_DLPFC"
"SMYD2","L5_dACC & L5_DLPFC"
"MEPE","L5_dACC & L5_DLPFC"
"PPP1R1A","L6_DLPFC & L6a_dACC"
"ISLR","L6_DLPFC & L6a_dACC"
"SMIM32","L6_DLPFC & L6a_dACC"
"B3GALT2","L6_DLPFC & L6a_dACC"
"NTNG2","L6_DLPFC & L6a_dACC"
"NR4A2","L6_DLPFC & L6a_dACC"
"DACH1","L6_DLPFC & L6a_dACC"
"MREG","L6_DLPFC & L6a_dACC"
"THEMIS","L6_DLPFC & L6a_dACC"
"IGSF21","L6_DLPFC & L6a_dACC"
"OLFML2B","L6_DLPFC & L6b_dACC"
"LGALS3","L1_dACC & L1_DLPFC"
"TIMP3","L1_dACC & L1_DLPFC"
"MT1G","L1_dACC & L1_DLPFC"
"GSTM5","L1_dACC & L1_DLPFC"
"VIM","L1_dACC & L1_DLPFC"
"C1orf61","L1_dACC & L1_DLPFC"
"RELN","L1_dACC & L1_DLPFC"
"STXBP6","L2_dACC & L2_DLPFC"
"C1QL2","L2_dACC & L2_DLPFC"
"LAMP5","L2_dACC & L2_DLPFC"
"CAMK2N1","L2_dACC & L2_DLPFC"
"SOWAHA","L2_dACC & L2_DLPFC"
"GNAL","L2_dACC & L2_DLPFC"
"ARL4A","L2_dACC & L2_DLPFC"
"HOPX","L2_DLPFC & L3_DLPFC"
"KRT17","L6_DLPFC & L6a_dACC & L6b_dACC"
"RASGRF2","L2_dACC & L2_DLPFC & L3_DLPFC"
"NEFM","L4_DLPFC"
"NEFL","L4_DLPFC"
"RCAN2","L4_DLPFC"
"SCN1B","L4_DLPFC"
"MFGE8","L4_DLPFC"
"INA","L4_DLPFC"
"ESYT1","L4_DLPFC"
"ATP1B1","L4_DLPFC"
"PRDX2","L4_DLPFC"
"SMPX","L4_DLPFC"
"IGFBP2","L4_DLPFC"
"EPDR1","L4_DLPFC"
"SV2C","L4_DLPFC"
"SDHA","L4_DLPFC"
"NSG1","L4_DLPFC"
"MAP1LC3B","L4_DLPFC"
"PVALB","L4_DLPFC"
"EXTL2","L4_DLPFC"
"CD99L2","L4_DLPFC"
"SLC25A5","L4_DLPFC"
"PNKD","L4_DLPFC"
"TMX4","L4_DLPFC"
"ATP1A1","L4_DLPFC"
"SCN4B","L4_DLPFC"
"NTNG1","L3_dACC"
"CALB1","L3_dACC"
"ADGRF5","L3_dACC"
"FRMPD2","L3_dACC"
"SPATS2L","L3_dACC"
"AC117453.1","L3_dACC"
"CNGB1","L3_dACC"
"RASGRF1","L3_dACC"
"LINC00507","L3_dACC"
"ASB2","L3_dACC"
"TPGS2","L3_dACC"
"CUX2","L3_dACC"
"AC073365.1","L3_dACC"
"NEK2","L3_dACC"
"AC003684.1","L3_dACC"
"LINC02822","L3_dACC"
"LINC01164","L3_dACC"
"PRAG1","L3_dACC"
"PTGER3","L3_dACC"
"COL5A2","L3_dACC"
"CDH8","L3_dACC"
"LINC00390","L3_dACC"
"FFAR4","L3_dACC"
"PTPRF","L3_dACC"
"CD24","L5_dACC"
"CENPF","L5_dACC"
"PLCH1","L5_dACC"
"AC096570.1","L5_dACC"
"ACTG1","L5_dACC"
"PPP1R17","L5_dACC"
"GAL","L5_dACC"
"OAT","L5_dACC"
"CD52","L5_dACC"
"MED10","L5_dACC"
"GABRQ","L5_dACC"
"DYNC1H1","L5_dACC"
"TOX","L5_dACC"
"MGST3","L5_dACC"
"ZFP64","L5_dACC"
"DPY19L1","L5_dACC"
"SOD1","L5_dACC"
"SULF2","L5_dACC"
"GNA15","L5_dACC"
"EIF4G2","L5_dACC"
"NPTX1","L6_DLPFC"
"SYNPR","L6_DLPFC"
"MMD","L6_DLPFC"
"DIRAS2","L6_DLPFC"
"MAP2K1","L6_DLPFC"
"DKK3","L6_DLPFC"
"SLC35F1","L6_DLPFC"
"SLN","L6_DLPFC"
"OPRK1","L6_DLPFC"
"GNG2","L6_DLPFC"
"AK5","L6_DLPFC"
"CTXN1","L6_DLPFC"
"ANXA1","L6_DLPFC"
"STIM1","L6_DLPFC"
"SLIT1","L6_DLPFC"
"GNAO1","L6_DLPFC"
"PRKCB","L6_DLPFC"
"DGKZ","L6_DLPFC"
"STT3B","L6a_dACC"
"KCTD8","L6a_dACC"
"CRTAC1","L6a_dACC"
"PCDH10","L6a_dACC"
"B3GLCT","L6a_dACC"
"GALNT14","L6a_dACC"
"RPRM","L6a_dACC"
"PTPRU","L6a_dACC"
"VPS41","L6a_dACC"
"MOXD1","L6a_dACC"
"TMEM275","L6a_dACC"
"PRMT7","L6a_dACC"
"GBE1","L6a_dACC"
"AC090578.1","L6a_dACC"
"SEMA3E","L6a_dACC"
"TMEM233","L6a_dACC"
"LRP1B","L6a_dACC"
"EFHD2","L6a_dACC"
"SYT6","L6a_dACC"
"NPY","L6b_dACC"
"SLC15A5","L6b_dACC"
"SCUBE1","L6b_dACC"
"CPLX3","L6b_dACC"
"CCN2","L6b_dACC"
"NXPH4","L6b_dACC"
"FIBCD1","L6b_dACC"
"CDH24","L6b_dACC"
"ADRA2A","L6b_dACC"
"PCOLCE2","L6b_dACC"
"DUSP27","L6b_dACC"
"CABP7","L6b_dACC"
"NOS1","L6b_dACC"
"VWA5A","L6b_dACC"
"GALR1","L6b_dACC"
"PLCXD3","L6b_dACC"
"NXPH3","L6b_dACC"
"GARNL3","L6b_dACC"
"SDK2","L6b_dACC"
"FOXO6","L6b_dACC"
"HS3ST4","L6b_dACC"
"AC079949.2","L6b_dACC"
"SULF1","L6b_dACC"
"PTK7","L6b_dACC"
"RAB3B","L6b_dACC"
"PCSK5","L6b_dACC"
"KIAA1217","L6b_dACC"
"CRHBP","L6b_dACC"
"HBA2","L1_dACC"
"MSX2","L1_dACC"
"HBB","L1_dACC"
"MSX1","L1_dACC"
"TTR","L1_dACC"
"NDNF","L1_dACC"
"DCN","L1_dACC"
"CDC42EP4","L1_dACC"
"ADGRV1","L1_dACC"
"OAF","L1_dACC"
"F3","L1_dACC"
"FGFR3","L1_dACC"
"LRRC8A","L1_dACC"
"MT1F","L1_dACC"
"TNS3","L1_dACC"
"SNTA1","L1_dACC"
"ATP1A2","L1_dACC"
"MLC1","L1_dACC"
"EMX2OS","L1_dACC"
"FSTL1","L1_dACC"
"SLC7A11","L1_dACC"
"MYH11","L1_dACC"
"SHISA6","L1_dACC"
"MT-ATP8","L1_DLPFC"
"SPARC","L1_DLPFC"
"SCG3","L1_DLPFC"
"AHCYL1","L1_DLPFC"
"SNORC","L1_DLPFC"
"MALAT1","L1_DLPFC"
"AHNAK","L1_DLPFC"
"MT-ND6","L1_DLPFC"
"CXCL14","L1_DLPFC"
"FABP7","L1_DLPFC"
"MT-ND2","L1_DLPFC"
"MAN1A2","L1_DLPFC"
"SOX2","L1_DLPFC"
"MTRNR2L12","L1_DLPFC"
"MT-ND5","L1_DLPFC"
"FXYD1","L1_DLPFC"
"MT3","L1_DLPFC"
"PRDX6","L1_DLPFC"
"MT-ND1","L1_DLPFC"
"PTN","L1_DLPFC"
"PLCG2","L1_DLPFC"
"CDK2AP1","L1_DLPFC"
"AL627171.2","L1_DLPFC"
"KCTD4","L2_dACC"
"MTMR12","L2_dACC"
"IPO5","L2_dACC"
"MAN1A1","L2_dACC"
"FAM106A","L2_dACC"
"DDRGK1","L2_dACC"
"DACT1","L2_dACC"
"SHISA7","L2_dACC"
"TMOD1","L2_dACC"
"MINK1","L2_dACC"
"IGFBP4","L2_dACC"
"RCN1","L2_dACC"
"TMEM65","L2_dACC"
"NECTIN3","L2_dACC"
"ACVR1C","L2_dACC"
"GPR88","L2_dACC"
"CA4","L2_dACC"
"PEG10","L2_dACC"
"PLEKHA2","L2_dACC"
"DTWD1","L2_dACC"
"DGKA","L2_dACC"
"KCNIP2","L2_DLPFC"
"HPCAL1","L2_DLPFC"
"GRIA2","L2_DLPFC"
"ITPKA","L2_DLPFC"
"ARPP19","L2_DLPFC"
"EGR3","L2_DLPFC"
"CAMK4","L2_DLPFC"
"LINC02714","L2_DLPFC"
"GRIN2B","L2_DLPFC"
"PDZD2","L2_DLPFC"
"FRRS1L","L2_DLPFC"
"HS6ST1","L2_DLPFC"
"SEC14L1","L2_DLPFC"
"PENK","L2_DLPFC"
"PDE8B","L2_DLPFC"
"SIPA1L1","L2_DLPFC"
"VXN","L2_DLPFC"
"NEDD4L","L2_DLPFC"
"PPFIA2","L2_DLPFC"
"SERPINE2","L2_DLPFC"
"GPR83","L2_DLPFC"
"CARTPT","L3_DLPFC"
"CA10","L3_DLPFC"
"BAIAP3","L3_DLPFC"
"CYP46A1","L3_DLPFC"
"DBNDD1","L3_DLPFC"
"TAFA5","L3_DLPFC"
"ENC1","L3_DLPFC"
"C11orf87","L3_DLPFC"
"TSC22D1","L3_DLPFC"
"LMO4","L3_DLPFC"
"LPL","L3_DLPFC"
"C14orf132","L3_DLPFC"
"BTBD3","L3_DLPFC"
"FAM81A","L3_DLPFC"
"CACNB2","L3_DLPFC"
"NRXN1","L3_DLPFC"
"SPON2","L3_DLPFC"
"LINC02433","L3_DLPFC"
"CBLN4","L3_DLPFC"
"MET","L3_DLPFC"
"PTK2B","L3_DLPFC"
"YWHAH","L3_DLPFC"
"PKD2L1","L5_DLPFC"
"TMSB10","L5_DLPFC"
"AL353751.1","L5_DLPFC"
"NREP","L5_DLPFC"
"CAMK2D","L5_DLPFC"
"FAM3C","L5_DLPFC"
"TTC9B","L5_DLPFC"
"PCP4L1","L5_DLPFC"
"IFITM10","L5_DLPFC"
"SSBP3","L5_DLPFC"
"PDE4A","L5_DLPFC"
"SYN2","L5_DLPFC"
"HTR2C","L5_DLPFC"
"IPCEF1","L5_DLPFC"
"NRSN1","L5_DLPFC"
"SPHKAP","L5_DLPFC"
"KCNAB1","L5_DLPFC"
"HPCA","L5_DLPFC"
"NAP1L5","L5_DLPFC"
"PGM2L1","L5_DLPFC"
"CYP26B1","L5_DLPFC"
"TUBB2A","L5_DLPFC"
"LRMP","L5_DLPFC"
"PRUNE2","L5_DLPFC"
"CCDC85A","L5_DLPFC"
